Key,Source,Context,English
perkfoodSteakAndPotatoSchematicRank1Desc,progression,Perk,Unlocks Steak and Potatos.

perkfoodVegetableStewDesc,progression,Perk,Unlocks Vegetable Stew.
perkfoodVegetableStewSchematicRank1Desc,progression,Perk,Unlocks Vegetable Stew.

perkplantedAloe1Desc,progression,Perk,Unlocks the Aloe Seed.
perkplantedAloe1SchematicRank1Desc,progression,Perk,Unlocks the Aloe Seed.

perkplantedBlueberry1Desc,progression,Perk,Unlocks the BlueBerry Seed.
perkplantedBlueberry1SchematicRank1Desc,progression,Perk,Unlocks the BlueBerry Seed.

perkplantedChrysanthemum1Desc,progression,Perk,Unlocks the Chrysanthemum Seed.
perkplantedChrysanthemum1SchematicRank1Desc,progression,Perk,Unlocks the Chrysanthemum Seed.

perkplantedCoffee1Desc,progression,Perk,Unlocks Coffee Beans.
perkplantedCoffee1SchematicRank1Desc,progression,Perk,Unlocks Coffee Beans.

perkplantedCorn1Desc,progression,Perk,Unlocks the Corn Seed.
perkplantedCorn1SchematicRank1Desc,progression,Perk,Unlocks the Corn Seed.

perkplantedCotton1Desc,progression,Perk,Unlocks the Cotton Seed.
perkplantedCotton1SchematicRank1Desc,progression,Perk,Unlocks the Cotton Seed.

perkplantedGoldenrod1Desc,progression,Perk,Unlocks the Goldnerod Seed.
perkplantedGoldenrod1SchematicRank1Desc,progression,Perk,Unlocks the Goldnerod Seed.

perkplantedGraceCorn1Desc,progression,Perk,Unlocks the Super Corn Seed.
perkplantedGraceCorn1SchematicRank1Desc,progression,Perk,Unlocks the  Super Corn Seed.

perkplantedHop1Desc,progression,Perk,Unlocks the Hops Seed.
perkplantedHop1SchematicRank1Desc,progression,Perk,Unlocks the Hops Seed.

perkplantedMushroom1Desc,progression,Perk,Unlocks the Mushroom Seed.
perkplantedMushroom1SchematicRank1Desc,progression,Perk,Unlocks the Mushroom Seed.

perkplantedPotato1Desc,progression,Perk,Unlocks the Potato Seed.
perkplantedPotato1SchematicRank1Desc,progression,Perk,Unlocks the Potato Seed.

perkplantedYucca1Desc,progression,Perk,Unlocks the Yucca Seed.
perkplantedYucca1SchematicRank1Desc,progression,Perk,Unlocks the Yucca Seed.

perkplantedPumpkin1Desc,progression,Perk,Unlocks the Pumpkin Seed.
perkplantedPumpkin1SchematicRank1Desc,progression,Perk,Unlocks the Pumpkin Seed.

perkmeleeToolRatchetDesc,progression,Perk,Unlocks the Ratchet.
perkmeleeToolRatchetSchematicRank1Desc,progression,Perk,Unlocks the Ratchet.

perkmeleeToolImpactDriverDesc,progression,Perk,Unlocks the Impact Driver.
perkmeleeToolImpactDriverSchematicRank1Desc,progression,Perk,Unlocks the Impact Driver.

perkgunAutoShotgunDesc,progression,Perk,Unlocks the Auto Shotgun.
perkgunAutoShotgunSchematicRank1Desc,progression,Perk,Unlocks the Auto Shotgun.

perkgunDesertVultureDesc,progression,Perk,Unlocks the Desert Vulture.
perkgunDesertVultureSchematicRank1Desc,progression,Perk,Unlocks the Desert Vulture.

perkgunTacticalARDesc,progression,Perk,Unlocks the Tactical AR.
perkgunTacticalARSchematicRank1Desc,progression,Perk,Unlocks the Tactical AR.

perkgunM60Desc,progression,Perk,Unlocks the M60.
perkgunMGT3M60SchematicSchematicRank1Desc,progression,Perk,Unlocks the M60.

perkgunLeverActionRifleDesc,progression,Perk,Unlocks the Lever Action Rifle.
perkgunLeverActionRifleSchematicRank1Desc,progression,Perk,Unlocks the Lever Action Rifle.

perkgunSniperRifleDesc,progression,Perk,Unlocks the Sniper Rifle.
perkgunSniperRifleSchematicRank1Desc,progression,Perk,Unlocks the Sniper Rifle.

perkgunJunkSledgeDesc,progression,Perk,Unlocks the Robotic Sledge.
perkgunJunkSledgeSchematicRank1Desc,progression,Perk,Unlocks the Robotic Sledge.

perkgunJunkDroneDesc,progression,Perk,Unlocks the Robotic Drone.
perkgunJunkDroneSchematicRank1Desc,progression,Perk,Unlocks the Robotic Drone.

perkmodRoboticDroneCargoDesc,progression,Perk,Unlocks the Robotic Drone Cargo Mod.
perkmodRoboticDroneCargoModSchematicRank1Desc,progression,Perk,Unlocks the Robotic Drone Cargo Mod.

perkmodRoboticDroneMedicDesc,progression,Perk,Unlocks the Robotic Drone Medic Mod.
perkmodRoboticDroneMedicModSchematicRank1Desc,progression,Perk,Unlocks the Robotic Drone Medic Mod.

perkmodRoboticDroneHeadlampDesc,progression,Perk,Unlocks the Robotic Drone Headlamp Mod.
perkmodRoboticDroneHeadlampModSchematicRank1Desc,progression,Perk,Unlocks the Robotic Drone Headlamp Mod.

perkmodRoboticDroneArmorPlatingDesc,progression,Perk,Unlocks the Robotic Drone Armor Plating Mod.
perkmodRoboticDroneArmorPlatingModSchematicRank1Desc,progression,Perk,Unlocks the Robotic Drone Armor Plating Mod.

perkmodRoboticMoraleBoosterPlatingDesc,progression,Perk,Unlocks the Robotic Drone Morale Booster Mod.
perkmodRoboticDroneMoraleBoosterModSchematicRank1Desc,progression,Perk,Unlocks the Robotic Drone Morale Booster Mod.

perkmodVehicleFuelSaverDesc,progression,Perk,Unlocks the Vehicle Fuel Saver Mod.
perkmodVehicleFuelSaverSchematicRank1Desc,progression,Perk,Unlocks the Vehicle Fuel Saver Mod.

perkmodVehicleOffRoadHeadlightsDesc,progression,Perk,Unlocks the Vehicle Off Road Headlight Mod.
perkmodVehicleOffRoadHeadlightsSchematicRank1Desc,progression,Perk,Unlocks the Vehicle Off Road Headlight Mod.

perkmodVehicleSuperChargerDesc,progression,Perk,Unlocks the Vehicle Super Charger Mod.
perkmodVehicleSuperChargerSchematicRank1Desc,progression,Perk,Unlocks the Vehicle Super Charger Mod.

perkmodVehicleExpandedSeatDesc,progression,Perk,Unlocks the Vehicle Expanded Seat Mod.
perkmodVehicleExpandedSeatSchematicRank1Desc,progression,Perk,Unlocks the Vehicle Expanded Seat Mod.

perkmodVehicleReserveFuelTankDesc,progression,Perk,Unlocks the Vehicle Reserve Fuel Tank Mod.
perkmodVehicleReserveFuelTankSchematicRank1Desc,progression,Perk,Unlocks the Vehicle Reserve Fuel Tank Mod.

perkmodVehicleExpandedSeatDesc,progression,Perk,Unlocks the Vehicle Expanded Seat Mod.
perkmodVehicleExpandedSeatSchematicRank1Desc,progression,Perk,Unlocks the Vehicle Expanded Seat Mod.

perkfoodGrilledMeatDesc,progression,Perk,Unlocks Grilled Meat.
perkfoodGrilledMeatSchematicRank1Desc,progression,Perk,Unlocks Grilled Meat.

perkfoodSpaghettiPieDesc,progression,Perk,Unlocks Spaghetti.
perkfoodSpaghettiSchematicRank1Desc,progression,Perk,Unlocks Spaghetti.

perkfoodTunaFishGravyToastDesc,progression,Perk,Unlocks Tuna Fish Gravy Toast.
perkfoodTunaFishGravyToastSchematicRank1Desc,progression,Perk,Unlocks Tuna Fish Gravy Toast.

perkceilingLight01Desc,progression,Perk,Unlocks Basic Ceiling Light.
perkceilingLight01_playerSchematicRank1Desc,progression,Perk,Unlocks Basic Ceiling Light.

perkindustrialLight01Desc,progression,Perk,Unlocks Industrial Light.
perkindustrialLight01_playerSchematicRank1Desc,progression,Perk,Unlocks Industrial Light.

perkindustrialLight02Desc,progression,Perk,Unlocks Industrial Light Bulb.
perkindustrialLight02_playerSchematicRank1Desc,progression,Perk,Unlocks Industrial Light Bulb.

perkceilingLight07Desc,progression,Perk,Unlocks the Fluorescent Light.
perkceilingLight07_playerSchematicRank1Desc,progression,Perk,Unlocks the Fluorescent Light.

perkmineCookingPotDesc,progression,Perk,Unlocks the Cooking Pot Landmine.
perkmineCookingPotSchematicRank1Desc,progression,Perk,Unlocks the Cooking Pot Landmine.

perkrScrapIronPlateMineDesc,progression,Perk,Unlocks the Pressure Plate Mine.
perkrScrapIronPlateMineSchematicRank1Desc,progression,Perk,Unlocks the Pressure Plate Mine.

perktmineHubcapDesc,progression,Perk,Unlocks the Hubcap Landmine.
perkmineHubcapSchematicRank1Desc,progression,Perk,Unlocks the Hubcap Landmine.

perkvehicleWheelsDesc,progression,Perk,Unlocks Vehicle Wheels.
perkvehicleWheelsSchematicRank1Desc,progression,Perk,Unlocks Vehicle Wheels.

perkpressureplateLongDesc,progression,Perk,Unlocks the Long Pressure Plate.
perkpressureplateLongSchematicRank1Desc,progression,Perk,Unlocks the Long Pressure Plate.

perktripwirepostDesc,progression,Perk,Unlocks the Tripwire Post.
perktripwirepostSchematicRank1Desc,progression,Perk,Unlocks the Tripwire Post.

perkelectricwirerelayDesc,progression,Perk,Unlocks the Electric Wire Relay.
perkelectricwirerelaySchematicRank1Desc,progression,Perk,Unlocks the Electric Wire Relay.

perkresourceGunPowderBundleDesc,progression,Perk,Unlocks the Gunpowder Bundle.
perkresourceGunPowderBundleSchematicRank1Desc,progression,Perk,Unlocks the Gunpowder Bundle.

perkammoRocketHEDesc,progression,Perk,Unlocks the High Explosive Rocket.
perkammoRocketHESchematicRank1Desc,progression,Perk,Unlocks the High Explosive Rocket.

perkammoRocketFragDesc,progression,Perk,Unlocks the Fragmentation Rocket.
perkammoRocketFragSchematicRank1Desc,progression,Perk,Unlocks the Fragmentation Rocket.

perkresourceRocketTipDesc,progression,Perk,Unlocks Rocket Tips.
perkresourceRocketTipSchematicRank1Desc,progression,Perk,Unlocks the Rocket Casing.

perkresourceRocketCasingDesc,progression,Perk,Unlocks Rocket Tips.
perkresourceRocketCasingSchematicRank1Desc,progression,Perk,Unlocks the Rocket Casing.

perkmineAirFilterDesc,progression,Perk,Unlocks the Air Filter Mine.
perkmineAirFilterSchematicRank1Desc,progression,Perk,Unlocks the Air Filter Mine.

perkresourceLockPickDesc,progression,Perk,Unlocks the Lockpick.
perkresourceLockPickSchematicRank1Desc,progression,Perk,Unlocks the Lockpick.

perkmetalReinforcedWoodDrawBridgePoweredDesc,progression,Perk,Unlocks the Reinforced Drawbridge.
perkmetalReinforcedWoodDrawBridgePoweredSchematicRank1Desc,progression,Perk,Unlocks the Reinforced Drawbridge.

perkcarBatteryDesc,progression,Perk,Unlocks the Car Battery.
perkcarBatterySchematicRank1Desc,progression,Perk,Unlocks the Car Battery.

perkammoGasCanBundleDesc,progression,Perk,Unlocks the Gas Can Bundle.
perkammoGasCanBundleSchematicSchematicRank1Desc,progression,Perk,Unlocks the Gas Can Bundle.

perkdrugSteroidsDesc,progression,Perk,Unlocks Steroids.
perkdrugSteroidsSchematicRank1Desc,progression,Perk,Unlocks Steroids.

perkdrugFortBitesDesc,progression,Perk,Unlocks FortBites.
perkdrugFortBitesSchematicRank1Desc,progression,Perk,Unlocks FortBites.

perkdrugRecogDesc,progression,Perk,Unlocks Recog.
perkdrugRecogSchematicRank1Desc,progression,Perk,Unlocks Recog.

perkmodMeleeFiremansAxeModDesc,progression,Perk,Unlocks Fireman's Axe Mod.
perkmodMeleeFiremansAxeModSchematicRank1Desc,progression,Perk,Unlocks Fireman's Axe Mod.

perkarmorFirefightersHelmetDesc,progression,Perk,Unlocks Fireman's Helmet.
perkarmorFirefightersHelmetSchematicRank1Desc,progression,Perk,Unlocks Fireman's Fireman's Helmet.

perkapparelFlannelShirtDesc,progression,Perk,Unlocks Flannel Shirt.
perkapparelFlannelShirtSchematicSchematicRank1Desc,progression,Perk,Unlocks Flannel Shirt.

perkapparelSweatshirtShirtDesc,progression,Perk,Unlocks Sweatshirt.
perkperkapparelSweatshirtSchematicSchematicRank1Desc,progression,Perk,Unlocks Sweatshirt.

perkapparelSkullCapDesc,progression,Perk,Unlocks Skullcap.
perkapparelSkullCapSchematicRank1Desc,progression,Perk,Unlocks Skullcap.

perkapparelDenimPantsDesc,progression,Perk,Unlocks Denim Pants.
perkapparelDenimPantsSchematicRank1Desc,progression,Perk,Unlocks Denim Pants.

perkapparelOverallsDesc,progression,Perk,Unlocks Overalls.
perkapparelOverallsSchematicRank1Desc,progression,Perk,Unlocks Overalls.

perkapparelSkirtDesc,progression,Perk,Unlocks Skirt.
perkapparelSkirtSchematicRank1Desc,progression,Perk,Unlocks Skirt.

perkapparelWornBootsDesc,progression,Perk,Unlocks Skullcap.
perkapparelWornBootsSchematicRank1Desc,progression,Perk,Unlocks Skullcap.

perkapparelRunningShoesRegularDesc,progression,Perk,Unlocks Running Shoes.
perkapparelRunningShoesRegularSchematicRank1Desc,progression,Perk,Unlocks Running Shoes.

perkapparelCowboyBootsDesc,progression,Perk,Unlocks Cowboy Boots.
perkapparelCowboyBootsSchematicRank1Desc,progression,Perk,Unlocks Cowboy Boots.

perkapparelSuitDressShoesDesc,progression,Perk,Unlocks Dress Shoes.
perkapparelSuitDressShoesSchematicRank1Desc,progression,Perk,Unlocks Dress Shoes.

perkapparelTankTopDesc,progression,Perk,Unlocks Tank Top.
perkapparelTankTopSchematicRank1Desc,progression,Perk,Unlocks Tank Top.

perkapparelTShirtPlainDesc,progression,Perk,Unlocks T-Shirt.
perkapparelTShirtPlainSchematicRank1Desc,progression,Perk,Unlocks T-Shirt.

perkapparelCowboyHatDesc,progression,Perk,Unlocks Cowboy Hat.
perkapparelCowboyHatSchematicRank1Desc,progression,Perk,Unlocks Cowboy Hat.

perkapparelDenimShortsPantsDesc,progression,Perk,Unlocks Denim Shorts.
perkapparelDenimShortsPantsSchematicRank1Desc,progression,Perk,Unlocks Denim Shorts.

perkapparelCoatLeatherDusterDesc,progression,Perk,Unlocks Leather Duster.
perkapparelCoatLeatherDusterSchematicRank1Desc,progression,Perk,Unlocks Leather Duster.

perkmodClothingCargoStoragePocketDesc,progression,Perk,Unlocks Double Pocket Clothing Mods.
perkmodClothingCargoStoragePocketSchematicRank1Desc,progression,Perk,Unlocks Double Pocket Clothing Mods.

perkapparelArmyPantsDesc,progression,Perk,Unlocks BDU Bottoms.
perkapparelArmyPantsPocketSchematicRank1Desc,progression,Perk,Unlocks BDU Bottoms.

perkapparelArmyShirtDesc,progression,Perk,Unlocks BDU Top.
perkapparelArmyShirtSchematicRank1Desc,progression,Perk,Unlocks BDU Top.

perkammo44MagnumBulletAPDesc,progression,Perk,Unlocks .44 Magnum AP Rounds.
perkammo44MagnumBulletAPSchematicRank1Desc,progression,Perk,Unlocks .44 Magnum AP Rounds.

perkammo44MagnumBulletHPDesc,progression,Perk,Unlocks .44 Magnum HP Rounds.
perkammo44MagnumBulletHPSchematicRank1Desc,progression,Perk,Unlocks .44 Magnum HP Rounds.

perkammoBundle44MagnumBulletAPDesc,progression,Perk,Unlocks .44 Magnum AP Bundle.
perkammoBundle44MagnumBulletAPSchematicRank1Desc,progression,Perk,Unlocks .44 Magnum AP Bundle.

perkammoBundle44MagnumBulletHPDesc,progression,Perk,Unlocks .44 Magnum Bundle.
perkammoBundle44MagnumBulletBallSchematicRank1Desc,progression,Perk,Unlocks .44 Magnum Bundle.

perkammoBundle44MagnumBulletHPDesc,progression,Perk,Unlocks .44 Magnum HP Bundle.
perkammoBundle44MagnumBulletHPSchematicRank1Desc,progression,Perk,Unlocks .44 Magnum HP Bundle. 

perkresourceLockPickBundleDesc,progression,Perk,Unlocks Lock Pick Bundle.
perkresourceLockPickBundleSchematicRank1Desc,progression,Perk,Unlocks Lock Pick Bundle.

perkresourceRockSmallBundleDesc,progression,Perk,Unlocks Small Stone Bundle.
perkresourceRockSmallBundleSchematicRank1Desc,progression,Perk,Unlocks Small Stone Bundle.

perkresourceWoodBundleDesc,progression,Perk,Unlocks Wood Bundle.
perkresourceWoodBundleSchematicRank1Desc,progression,Perk,Unlocks Wood Bundle.

perkresourceScrapIronBundleDesc,progression,Perk,Unlocks Iron Fragment Bundle.
perkresourceScrapIronBundleSchematicRank1Desc,progression,Perk,Unlocks Iron Fragment Bundle.

perkresourceOilShaleBundleDesc,progression,Perk,Unlocks Oil Shale Bundle.
perkresourceOilShaleBundleSchematicRank1Desc,progression,Perk,Unlocks Oil Shale Bundle.

perkresourcePotassiumNitratePowderBundleDesc,progression,Perk,Unlocks Nitrate Bundle.
perkresourcePotassiumNitratePowderBundleSchematicRank1Desc,progression,Perk,Unlocks Nitrate Bundle. 

perkresourceLeadBundleDesc,progression,Perk,Unlocks Lead Fragment Bundle.
perkresourceLeadBundleSchematicRank1Desc,progression,Perk,Unlocks Lead Fragment Bundle.

perkresourceCoalBundleDesc,progression,Perk,Unlocks Coal Bundle.
perkresourceCoalBundleSchematicRank1Desc,progression,Perk,Unlocks Coal Bundle.

perkammoBundleArrowStoneDesc,progression,Perk,Unlocks Stone Arrow Bundle.
perkammoBundleArrowStoneSchematicRank1Desc,progression,Perk,Unlocks Stone Arrow Bundle.

perkammoBundleArrowIronDesc,progression,Perk,Unlocks Iron Arrow Bundle.
perkammoBundleArrowIronSchematicRank1Desc,progression,Perk,Unlocks Iron Arrow Bundle.

perkammoBundleArrowFlamingDesc,progression,Perk,Unlocks Flaming Arrow Bundle.
perkammoBundleArrowFlamingSchematicRank1Desc,progression,Perk,Unlocks Flaming Arrow Bundle.

perkammoBundleCrossbowBoltFlamingDesc,progression,Perk,Unlocks Flaming Crossbow Bolt Bundle.
perkammoBundleCrossbowBoltFlamingSchematicRank1Desc,progression,Perk,Unlocks Flaming Crossbow Bolt Bundle.

perkammoBundleArrowSteelAPDesc,progression,Perk,Unlocks Steel Arrow Bundle.
perkammoBundleArrowSteelAPSchematicRank1Desc,progression,Perk,Unlocks Steel Arrow Bundle.

perkammoBundleCrossbowBoltExplodingDesc,progression,Perk,Unlocks Exploding Crossbow Bolt Bundle.
perkammoBundleCrossbowBoltExplodingSchematicRank1Desc,progression,Perk,Unlocks Exploding Crossbow Bolt Bundle.

perkammoBundleArrowExplodingDesc,progression,Perk,Unlocks Exploding Arrow Bundle.
perkammoBundleArrowExplodingSchematicRank1Desc,progression,Perk,Unlocks Exploding Arrow Bundle.

perkammoBundleCrossbowBoltIronDesc,progression,Perk,Unlocks Iron Crossbow Bolt Bundle.
perkammoBundleCrossbowBoltIronSchematicRank1Desc,progression,Perk,Unlocks Crossbow Bolt Bundle.

perkammoBundleCrossbowBoltSteelAPDesc,progression,Perk,Unlocks Steel Crossbow Bolt Bundle.
perkammoBundleCrossbowBoltSteelAPSchematicRank1Desc,progression,Perk,Unlocks Steel Crossbow Bolt Bundle.

perkammoBundleCrossbowBoltStoneDesc,progression,Perk,Unlocks Stone Crossbow Bolt.
perkammoBundleCrossbowBoltStoneSchematicRank1Desc,progression,Perk,Unlocks Stone Crossbow Bolt.

perkammoBundle9mmBulletBallDesc,progression,Perk,Unlocks 9mm Bullet Bundle.
perkammoBundle9mmBulletBallSchematicRank1Desc,progression,Perk,Unlocks 9mm Bullet Bundle.

perkammoBundle9mmBulletHPDesc,progression,Perk,Unlocks 9mm HP Bullet Bundle.
perkammoBundle9mmBulletBallHPSchematicRank1Desc,progression,Perk,Unlocks 9mm HP Bullet Bundle.

perkammoBundle9mmBulletAPDesc,progression,Perk,Unlocks 9mm AP Bullet Bundle.
perkammoBundle9mmBulletBallAPSchematicRank1Desc,progression,Perk,Unlocks 9mm AP Bullet Bundle.

perkammoBundleShotgunShellDesc,progression,Perk,Unlocks Shotgun Shell Bundle.
perkammoBundleShotgunShellSchematicRank1Desc,progression,Perk,Unlocks Shotgun Shell Bundle.

perkammoBundleShotgunSlugDesc,progression,Perk,Unlocks Shotgun Slug Bundle.
perkammoBundleShotgunSlugSchematicRank1Desc,progression,Perk,Unlocks Shotgun Slug Bundle.

perkammoBundleShotgunBreachingSlugDesc,progression,Perk,Unlocks Shotgun Breaching Slug Bundle.
perkammoBundleShotgunBreachingSlugSchematicRank1Desc,progression,Perk,Unlocks Shotgun Breaching Slug Bundle.

perkammoBundle762mmBulletBallDesc,progression,Perk,Unlocks 7.62 Bullet Bundle.
perkammoBundle762mmBulletBallSchematicRank1Desc,progression,Perk,Unlocks 7.62 Bullet Bundle.

perkammoBundle762mmBulletHPDesc,progression,Perk,Unlocks 7.62 HP Bullet Bundle.
perkammoBundle762mmBulletHPSchematicRank1Desc,progression,Perk,Unlocks 7.62 HP Bullet Bundle.

perkammoBundle762mmBulletAPDesc,progression,Perk,Unlocks 7.62 AP Bullet Bundle.
perkammoBundle762mmBulletAPSchematicRank1Desc,progression,Perk,Unlocks 7.62 AP Bullet Bundle.

perkammo762mmBulletAPDesc,progression,Perk,Unlocks AP 7.62 Bullet. 
perkammo762mmBulletHPSchematicRank1Desc,progression,Perk,Unlocks AP 7.62 Bullet.

perkammo762mmBulletHPDesc,progression,Perk,Unlocks HP 7.62 Bullet.
perkammo762mmBulletHPSchematicRank1Desc,progression,Perk,Unlocks HP 7.62 Bullet.

perkammoShotgunSlugDesc,progression,Perk,Unlocks Shotgun Slug.
perkammoShotgunSlugSchematicRank1Desc,progression,Perk,Unlocks Shotgun Slug.

perkammoShotgunBreachingSlugDesc,progression,Perk,Unlocks Breaching Slug.
perkammoShotgunBreachingSlugSchematicRank1Desc,progression,Perk,Unlocks Breaching Slug.

perkammoCrossbowBoltExplodingDesc,progression,Perk,Unlocks Exploding Bolt.
perkammoCrossbowBoltExplodingSchematicRank1Desc,progression,Perk,Unlocks Exploding Bolt.

perkammoArrowExplodingDesc,progression,Perk,Unlocks Exploding Arrow.
perkammoArrowExplodingSchematicRank1Desc,progression,Perk,Unlocks Exploding Arrow.

perkammoCrossbowBoltFlamingDesc,progression,Perk,Unlocks Flaming Bolt.
perkammoCrossbowBoltFlamingSchematicRank1Desc,progression,Perk,Unlocks Flaming Bolt.

perkammoArrowExplodingDesc,progression,Perk,Unlocks Exploding Arrow.
perkammoArrowExplodingSchematicRank1Desc,progression,Perk,Unlocks Exploding Arrow.

perkammo9mmBulletHPDesc,progression,Perk,Unlocks 9mm HP Bullet.
perkammo9mmBulletHPSchematicRank1Desc,progression,Perk,Unlocks 9mm HP Bullet.

perkammo9mmBulletAPDesc,progression,Perk,Unlocks 9mm AP Bullet.
perkammo9mmBulletAPSchematicRank1Desc,progression,Perk,Unlocks 9mm AP Bullet.

perkarmorMilitaryStealthBootsDesc,progression,Perk,Unlocks Military Stealth Boots.
perkarmorMilitaryStealthBootsSchematicRank1Desc,progression,Perk,Unlocks Military Stealth Boots.

perkapparelCigarDesc,progression,Perk,Unlocks the Cigar.
perkapparelCigarSchematicRank1Desc,progression,Perk,Unlocks the Cigar.

perkapparelBallCapDesc,progression,Perk,Unlocks the Baseball Cap.
perkapparelBallCapSchematicRank1Desc,progression,Perk,Unlocks the Baseball Cap.

perkapparelCoatJacketLetterZUDesc,progression,Perk,Unlocks College Jacket.
perkapparelCoatJacketLetterZUSchematicRank1Desc,progression,Perk,Unlocks College Jacket.

perkapparelGhillieSuitHoodDesc,progression,Perk,Unlocks Ghillie Hood.
perkapparelGhillieSuitHoodSchematicRank1Desc,progression,Perk,Unlocks Ghillie Hood.

perkapparelGhillieSuitJacketDesc,progression,Perk,Unlocks Ghillie Jacket.
perkapparelGhillieSuitJacketSchematicRank1Desc,progression,Perk,Unlocks Ghillie Jacket.

perkapparelGhillieSuitPantsDesc,progression,Perk,Unlocks Ghillie Pants.
perkapparelGhillieSuitJacketSchematicRank1Desc,progression,Perk,Unlocks Ghillie Pants.

perkmodMeleeDiamondTipSDesc,progression,Perk,Unlocks the Diamond Tip Mod.
perkmodMeleeDiamondTipSchematicRank1Desc,progression,Perk,Unlocks Diamond Tip Mod.

perkmodGunDrumMagazineExtenderDesc,progression,Perk,Unlocks the Drum Magazine Extender.
perkmodGunDrumMagazineExtenderSchematicRank1Desc,progression,Perk,Unlocks the Drum Magazine Extender.

perkmodGunShotgunTubeExtenderDesc,progression,Perk,Unlocks the Shotgun Tube Extender.
perkmodGunShotgunTubeExtenderMagazineSchematicRank1Desc,progression,Perk,Unlocks the Shotgun Tube Extender.

perkdrinkJarPureMineralWaterDesc,progression,Perk,Unlocks Pure Mineral Water.
perkdrinkJarPureMineralWaterSchematicRank1Desc,progression,Perk,Unlocks Mineral Water.

perkdrinkjarBlackStrapDesc,progression,Perk,Unlocks Blackstrap Coffee.
perkdrinkjarBlackStrapCoffeeSchematicRank1Desc,progression,Perk,Unlocks Blackstrap Coffee.

perkresourceClothDesc,progression,Perk,Unlocks the Ability to Craft Cloth.
perkresourceClothSchematicRank1Desc,progression,Perk,Unlocks the Ability to Craft Cloth.

perkarmorMiningHelmetDesc,progression,Perk,Unlocks the Mining Helmet.
perkarmorMiningHelmetSchematicRank1Desc,progression,Perk,Unlocks the Mining Helmet.

perkmodArmorHelmetLightDesc,progression,Perk,Unlocks the Mining Light Mod.
perkmodArmorHelmetLightSchematicRank1Desc,progression,Perk,Unlocks the Mining Light Mod.

perkperklanternLight_playerDesc,progression,Perk,Unlocks the Mining Lantern.
perklanternLight_playerSchematicRank1Desc,progression,Perk,Unlocks the Mining Lantern.

